name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Bangkok,2024-04-24T00:00:00,30.7,38.3,25.7,74.75,0,0,,0,0,31,20.5,200,1006,27.1,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-24T01:00:00,30.3,40,27.3,83.88,0,0,,0,0,30.2,6.9,128,1005.3,80.8,9.9,0,0,0,60,Partially cloudy,partly-cloudy-night,"48429099999,E4214,48455099999,48453099999,48456099999,48459099999,48420099999"
Bangkok,2024-04-24T02:00:00,30,37.4,26,79.19,0,0,,0,0,31.3,19.1,190,1005,27.1,10,0,0,0,60,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-24T03:00:00,30.2,37.5,25.7,76.9,0,0,,0,0,31.7,13,173,1005,33.2,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-24T04:00:00,30.3,39.2,26.8,81.57,0,0,,0,0,31,7.4,142,1004.8,82.7,9.9,0,0,0,38,Partially cloudy,partly-cloudy-night,"48429099999,E4214,48455099999,48453099999,48456099999,48459099999,48420099999"
Bangkok,2024-04-24T05:00:00,30,37.1,25.7,78.02,0,0,,0,0,29.5,16.2,173,1005.3,50,10,0,0,0,38,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-24T06:00:00,30,37.1,25.7,78.02,0,0,,0,0,29.9,14.3,173,1006,33.2,10,0,0,0,38,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-24T07:00:00,30.4,39.9,27.2,82.87,0,0,,0,0,25.9,6.4,175,1006.6,79.8,8.4,76,0.3,1,38,Partially cloudy,partly-cloudy-day,"48429099999,E4214,48455099999,48453099999,48456099999,48454099999,48459099999"
Bangkok,2024-04-24T08:00:00,32,41.4,26.5,72.76,0,0,,0,0,23,16.2,175,1008,33.2,10,309,1.1,3,38,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-24T09:00:00,32.7,41.3,25.7,66.73,0,0,,0,0,23,18.9,185,1009,50,10,532,1.9,5,75,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-24T10:00:00,33.4,44.6,27,69.28,0,0,,0,0,22.7,9.9,162,1008.6,79.8,9.4,796,2.9,8,75,Partially cloudy,partly-cloudy-day,"48429099999,E4214,48455099999,48453099999,48456099999,48454099999,48459099999"
Bangkok,2024-04-24T11:00:00,35.7,43.9,24.7,53.2,0,0,,0,0,22.7,17.6,200,1008.3,43.9,10,302,1.1,3,60,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-24T12:00:00,35.7,43.9,24.7,53.2,0,0,,0,0,23,17.6,190,1008,43.9,10,229,0.8,2,30,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-24T13:00:00,36.1,43.9,24.4,50.98,0,0,,0,0,23,4.7,195,1007,48.1,10,642,2.3,6,30,Partially cloudy,partly-cloudy-day,"48429099999,E4214,48455099999,48453099999,48456099999,48454099999,48459099999"
Bangkok,2024-04-24T14:00:00,37.7,44.2,23,42.92,0,0,,0,0,23.4,19.4,178,1006,27.1,10,619,2.2,6,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-24T15:00:00,37.5,40.3,19.5,35.13,0,0,,0,0,23,18.9,190,1005,27.1,10,513,1.8,5,10,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-24T16:00:00,36.4,45.8,25.4,53.26,0,0,,0,0,22.3,8.9,160,1004.2,35.1,10.1,340,1.2,3,10,Partially cloudy,partly-cloudy-day,"48429099999,E4214,48455099999,48453099999,48456099999,48454099999,48459099999"
Bangkok,2024-04-24T17:00:00,36.5,38.7,19,35.96,0,0,,0,0,24.1,19.4,210,1004,27.1,10,66,0.2,1,3,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-24T18:00:00,35.5,39.6,21.5,44.33,0,0,,0,0,26.3,19.4,193,1004,27.1,10,11,0,0,3,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-24T19:00:00,33.1,41.2,25.3,63.77,0,0,,0,0,23.8,8.8,186,1004.5,36.7,10,0,0,0,3,Partially cloudy,partly-cloudy-night,"48429099999,E4214,48455099999,48453099999,48456099999,48454099999,48459099999"
Bangkok,2024-04-24T20:00:00,32,37.3,23.5,60.87,0,0,,0,0,27.7,22.8,200,1005,27.1,10,0,0,0,8,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-24T21:00:00,31.7,38.8,25,67.54,0,0,,0,0,29.2,21.4,200,1006,27.1,10,0,0,0,8,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-24T22:00:00,30.7,39.7,26.7,79.22,0,0,,0,0,27.7,8.7,177,1006.7,57.4,9.9,0,0,0,8,Partially cloudy,partly-cloudy-night,"48429099999,E4214,48455099999,48453099999,48456099999,48459099999,48420099999"
Bangkok,2024-04-24T23:00:00,31,38.7,25.7,73.68,0,0,,0,0,31,25.5,190,1007,27.1,10,0,0,0,8,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-25T00:00:00,31,38.7,25.7,73.68,0,0,,0,0,30.2,26.4,197,1007,27.1,10,0,0,0,15,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-25T01:00:00,30.1,38.5,26.6,81.54,0,0,,0,0,32,7.3,208,1006.9,60.3,9.9,0,0,0,15,Partially cloudy,partly-cloudy-night,"48429099999,E4214,48455099999,48453099999,48456099999,48459099999,48420099999"
Bangkok,2024-04-25T02:00:00,30,37.1,25.7,78.02,0,0,,0,0,29.9,14.9,183,1006.7,27.1,10,0,0,0,60,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-25T03:00:00,30,36.2,25,74.63,0,0,,0,0,26.6,10.3,183,1006,27.1,10,0,0,0,60,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-25T04:00:00,29.7,37.7,26.5,82.82,0,0,,0,0,24.1,1.8,183,1006.2,59.8,9.9,0,0,0,30,Partially cloudy,partly-cloudy-night,"48429099999,E4214,48455099999,48453099999,48456099999,48459099999,48420099999"
Bangkok,2024-04-25T05:00:00,30,37.1,25.7,78.02,0,0,,0,0,22.7,8.9,158,1007,27.1,10,0,0,0,30,Partially cloudy,partly-cloudy-night,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-25T06:00:00,30,37.1,25.7,78.02,0,0,,0,0,22.7,8.9,155,1007,27.1,10,4,0,0,30,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-25T07:00:00,30.3,38.7,26.6,80.62,0,0,,0,0,20.5,3.7,185,1007.4,59.9,9.4,64,0.2,1,30,Partially cloudy,partly-cloudy-day,"48429099999,E4214,48455099999,48453099999,48456099999,48454099999,48459099999"
Bangkok,2024-04-25T08:00:00,32,39.5,25.2,67.59,0,0,,0,0,19.1,14.3,160,1009,27.1,10,234,0.8,2,30,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,48456099999,48459099999"
Bangkok,2024-04-25T09:00:00,33.7,41.2,24.7,59.44,0,0,,0,0,18.4,15.2,173,1010,27.1,10,509,1.8,5,30,Partially cloudy,partly-cloudy-day,"E4214,VTBS,VTBD,48456099999,48459099999"
