date,min,max,median,q1,q3,stdev,count
2023-10-27T00:00:00.000Z,36,90,55,47,57,12.709,94
2023-10-28T00:00:00.000Z,22,121,63,48.5,91,25.039,132
2023-10-29T00:00:00.000Z,24,140,66,61.5,69,22.765,85
2023-10-30T00:00:00.000Z,25,57,46,33.5,51,10.103,77
2023-10-31T00:00:00.000Z,26,45,36,30,39,4.991,101
2023-11-01T00:00:00.000Z,38,75,45,41.5,47.5,6.966,72
2023-11-02T00:00:00.000Z,42,100,83,64,92,18.46,103
2023-11-03T00:00:00.000Z,48,143,89,54.5,118.5,30.142,132
2023-11-04T00:00:00.000Z,40,136,72,51,87,24.068,133
2023-11-05T00:00:00.000Z,25,77,45,42,50,9.019,143
2023-11-06T00:00:00.000Z,25,87,34,28,39,14.582,139
2023-11-07T00:00:00.000Z,27,63,46,39,52,8.94,141
2023-11-08T00:00:00.000Z,39,90,54,47,60,10.026,139
2023-11-09T00:00:00.000Z,25,77,42,33,50,12.683,135
2023-11-10T00:00:00.000Z,23,86,39,34,57,16.292,142
2023-11-11T00:00:00.000Z,27,96,46.5,37,60,15.429,138
2023-11-12T00:00:00.000Z,29,54,35,32,40.5,6.027,88
2023-11-13T00:00:00.000Z,29,69,45,35,50,10.188,138
2023-11-14T00:00:00.000Z,23,43,31,25,34,4.998,140
2023-11-15T00:00:00.000Z,24,50,34,28,41,7.416,121
2023-11-16T00:00:00.000Z,21,49,29,28,34,5.713,142
2023-11-17T00:00:00.000Z,22,57,45,28,51,11.35,129
2023-11-18T00:00:00.000Z,34,130,54,40,66,15.108,125
2023-11-19T00:00:00.000Z,45,76,58,50,68,9.111,127
2023-11-20T00:00:00.000Z,44,92,60,49,79,15.416,130
2023-11-21T00:00:00.000Z,46,117,72,54,95,22.67,135
2023-11-22T00:00:00.000Z,54,269,77,71.5,92,24.02,137
2023-11-23T00:00:00.000Z,32,250,57,42,69,22.647,130
2023-11-24T00:00:00.000Z,30,60,38,35,46,6.914,133
2023-11-25T00:00:00.000Z,37,88,50.5,45,72,15.813,138
2023-11-26T00:00:00.000Z,29,88,45,37,62.5,16.292,136
2023-11-27T00:00:00.000Z,25,102,39,30,66,18.657,139
2023-11-28T00:00:00.000Z,55,156,89,64,119,29.105,129
2023-11-29T00:00:00.000Z,63,119,89,69,101,16.45,139
2023-11-30T00:00:00.000Z,35,98,63,54,71,14.15,133
2023-12-01T00:00:00.000Z,26,75,38,34,54,12.762,131
2023-12-02T00:00:00.000Z,28,75,37,32,47,11.744,133
2023-12-03T00:00:00.000Z,28,81,39,32,51,12.756,142
2023-12-04T00:00:00.000Z,28,103,48,32,77,22.069,135
2023-12-05T00:00:00.000Z,34,124,66,49.5,73,19.963,133
2023-12-06T00:00:00.000Z,28,118,36,33,44,19.514,135
2023-12-07T00:00:00.000Z,24,57,35.5,29,39,7.373,116
2023-12-09T00:00:00.000Z,61,124,65,63,81,17.346,43
2023-12-10T00:00:00.000Z,62,129,74.5,68,91,16.495,84
2023-12-11T00:00:00.000Z,57,183,108,78.5,121,31.219,137
2023-12-12T00:00:00.000Z,48,182,95,54,117,35.576,133
2023-12-13T00:00:00.000Z,45,98,60,54,67,11.03,135
2023-12-14T00:00:00.000Z,38,115,62,45,84.5,23.238,132
2023-12-15T00:00:00.000Z,40,139,92,49.5,103,29.169,141
2023-12-16T00:00:00.000Z,35,117,71,49,79,19.611,130
2023-12-17T00:00:00.000Z,31,71,40,35,45,9.004,139
