timestamp,outdoor_temp,outdoor_feels_like,outdoor_pressure,outdoor_humidity,outdoor_weather,outdoor_description,outdoor_pm25,outdoor_pm10,indoor_temp,indoor_light
2024-04-24 00:00:00,30.7,38.3,1006.0,74.75,Partially cloudy,,16.0,34.0,,
2024-04-24 01:00:00,30.3,40.0,1005.3,83.88,Partially cloudy,,16.73913043478261,35.26086956521739,,
2024-04-24 02:00:00,30.0,37.4,1005.0,79.19,Partially cloudy,,17.47826086956522,36.52173913043478,,
2024-04-24 03:00:00,30.2,37.5,1005.0,76.9,Partially cloudy,,18.217391304347828,37.78260869565217,,
2024-04-24 04:00:00,30.3,39.2,1004.8,81.57,Partially cloudy,,18.956521739130434,39.04347826086956,,
2024-04-24 05:00:00,30.0,37.1,1005.3,78.02,Partially cloudy,,19.695652173913043,40.30434782608695,,
2024-04-24 06:00:00,30.0,37.1,1006.0,78.02,Partially cloudy,,20.434782608695652,41.565217391304344,,
2024-04-24 07:00:00,30.4,39.9,1006.6,82.87,Partially cloudy,,21.17391304347826,42.82608695652174,,
2024-04-24 08:00:00,32.0,41.4,1008.0,72.76,Partially cloudy,,21.913043478260867,44.08695652173913,,
2024-04-24 09:00:00,32.7,41.3,1009.0,66.73,Partially cloudy,,22.652173913043477,45.34782608695652,,
2024-04-24 10:00:00,33.4,44.6,1008.6,69.28,Partially cloudy,,23.391304347826086,46.608695652173914,,
2024-04-24 11:00:00,35.7,43.9,1008.3,53.2,Partially cloudy,,24.130434782608695,47.869565217391305,,
2024-04-24 12:00:00,35.7,43.9,1008.0,53.2,Partially cloudy,,24.869565217391305,49.130434782608695,,
2024-04-24 13:00:00,36.1,43.9,1007.0,50.98,Partially cloudy,,25.608695652173914,50.391304347826086,,
2024-04-24 14:00:00,37.7,44.2,1006.0,42.92,Partially cloudy,,26.347826086956523,51.652173913043484,,
2024-04-24 15:00:00,37.5,40.3,1005.0,35.13,Partially cloudy,,27.08695652173913,52.913043478260875,,
2024-04-24 16:00:00,36.4,45.8,1004.2,53.26,Partially cloudy,,27.82608695652174,54.173913043478265,,
2024-04-24 17:00:00,36.5,38.7,1004.0,35.96,Partially cloudy,,28.565217391304348,55.434782608695656,,
2024-04-24 18:00:00,35.5,39.6,1004.0,44.33,Partially cloudy,,29.304347826086953,56.69565217391305,,
2024-04-24 19:00:00,33.1,41.2,1004.5,63.77,Partially cloudy,,30.043478260869563,57.95652173913044,,
2024-04-24 20:00:00,32.0,37.3,1005.0,60.87,Partially cloudy,,30.782608695652172,59.21739130434783,,
2024-04-24 21:00:00,31.7,38.8,1006.0,67.54,Partially cloudy,,31.52173913043478,60.47826086956522,,
2024-04-24 22:00:00,30.7,39.7,1006.7,79.22,Partially cloudy,,32.26086956521739,61.73913043478261,,
2024-04-24 23:00:00,31.0,38.7,1007.0,73.68,Partially cloudy,,33.0,63.0,,
2024-04-25 00:00:00,31.0,38.7,1007.0,73.68,Partially cloudy,,13.0,28.0,,
2024-04-25 01:00:00,30.1,38.5,1006.9,81.54,Partially cloudy,,13.565217391304348,29.0,,
2024-04-25 02:00:00,30.0,37.1,1006.7,78.02,Partially cloudy,,14.130434782608695,30.0,,
2024-04-25 03:00:00,30.0,36.2,1006.0,74.63,Partially cloudy,,14.695652173913043,31.0,,
2024-04-25 04:00:00,29.7,37.7,1006.2,82.82,Partially cloudy,,15.26086956521739,32.0,,
2024-04-25 05:00:00,30.0,37.1,1007.0,78.02,Partially cloudy,,15.826086956521738,33.0,,
2024-04-25 06:00:00,30.0,37.1,1007.0,78.02,Partially cloudy,,16.391304347826086,34.0,,
2024-04-25 07:00:00,30.3,38.7,1007.4,80.62,Partially cloudy,,16.956521739130434,35.0,,
2024-04-25 08:00:00,32.0,39.5,1009.0,67.59,Partially cloudy,,17.52173913043478,36.0,,
2024-04-25 09:00:00,33.7,41.2,1010.0,59.44,Partially cloudy,,18.08695652173913,37.0,,
2024-04-25 10:00:00,34.3,42.5,1009.1,58.62,Partially cloudy,,18.652173913043477,38.0,,
2024-04-25 11:00:00,35.7,41.9,1008.0,48.6,Partially cloudy,,19.217391304347824,39.0,,
2024-04-25 12:00:00,36.7,41.5,1008.0,41.99,Partially cloudy,,19.782608695652172,40.0,,
2024-04-25 13:00:00,36.5,45.3,1006.5,51.53,Partially cloudy,,20.347826086956523,41.0,,
2024-04-25 14:00:00,38.5,42.9,1005.0,36.47,Partially cloudy,,20.913043478260867,42.0,,
2024-04-25 15:00:00,38.7,42.5,1005.0,34.36,Partially cloudy,,21.47826086956522,43.0,,
2024-04-25 16:00:00,36.6,43.2,1004.0,46.92,Partially cloudy,,22.043478260869563,44.0,,
2024-04-25 17:00:00,37.2,39.1,1004.0,32.94,Partially cloudy,,22.608695652173914,45.0,,
2024-04-25 18:00:00,35.2,38.4,1004.0,42.27,Partially cloudy,,23.173913043478258,46.0,,
2024-04-25 19:00:00,33.0,41.1,1004.9,64.61,Partially cloudy,,23.73913043478261,47.0,,
2024-04-25 20:00:00,32.0,36.8,1005.0,59.04,Partially cloudy,,24.304347826086953,48.0,,
2024-04-25 21:00:00,31.7,36.7,1005.7,60.81,Partially cloudy,,24.869565217391305,49.0,,
2024-04-25 22:00:00,31.0,39.5,1006.2,75.56,Partially cloudy,,25.43478260869565,50.0,,
2024-04-25 23:00:00,31.0,36.8,1007.0,67.39,Partially cloudy,,26.0,51.0,,
2024-04-26 00:00:00,31.0,38.7,1006.3,73.68,Partially cloudy,,16.0,31.0,,
2024-04-26 01:00:00,30.2,38.8,1005.9,81.88,Partially cloudy,,16.608695652173914,32.130434782608695,,
2024-04-26 02:00:00,30.0,37.1,1006.0,78.02,Partially cloudy,,17.217391304347828,33.26086956521739,,
2024-04-26 03:00:00,30.0,37.1,1005.7,78.02,Partially cloudy,,17.82608695652174,34.391304347826086,,
2024-04-26 04:00:00,29.9,37.8,1005.6,81.88,Partially cloudy,,18.434782608695652,35.52173913043478,,
2024-04-26 05:00:00,30.0,37.1,1006.0,78.02,Partially cloudy,,19.043478260869566,36.65217391304348,,
2024-04-26 06:00:00,29.2,35.8,1006.0,81.46,Partially cloudy,,19.652173913043477,37.78260869565217,,
2024-04-26 07:00:00,30.1,38.0,1007.1,80.5,Partially cloudy,,20.26086956521739,38.91304347826087,,
2024-04-26 08:00:00,31.2,39.1,1008.0,72.63,Partially cloudy,,20.869565217391305,40.04347826086956,,
2024-04-26 09:00:00,33.0,41.7,1009.0,65.79,Partially cloudy,,21.47826086956522,41.17391304347826,,
2024-04-26 10:00:00,34.2,44.4,1008.6,63.77,Partially cloudy,,22.086956521739133,42.30434782608695,,
2024-04-26 11:00:00,36.2,43.5,1008.0,49.49,Partially cloudy,,22.695652173913043,43.43478260869565,,
2024-04-26 12:00:00,36.5,43.8,1007.3,48.81,Partially cloudy,,23.304347826086957,44.565217391304344,,
2024-04-26 13:00:00,36.2,47.8,1006.5,58.09,Partially cloudy,,23.91304347826087,45.69565217391305,,
2024-04-26 14:00:00,37.5,43.2,1005.0,42.21,Partially cloudy,,24.52173913043478,46.826086956521735,,
2024-04-26 15:00:00,37.5,41.4,1004.3,37.93,Partially cloudy,,25.130434782608695,47.95652173913044,,
2024-04-26 16:00:00,35.9,45.3,1004.0,55.03,Partially cloudy,,25.73913043478261,49.086956521739125,,
2024-04-26 17:00:00,36.7,41.2,1003.3,41.36,Partially cloudy,,26.347826086956523,50.21739130434783,,
2024-04-26 18:00:00,35.5,39.4,1003.0,43.65,Partially cloudy,,26.956521739130437,51.347826086956516,,
2024-04-26 19:00:00,32.9,41.2,1003.9,65.27,Partially cloudy,,27.565217391304348,52.47826086956522,,
2024-04-26 20:00:00,32.7,38.0,1004.3,57.47,Partially cloudy,,28.17391304347826,53.60869565217391,,
2024-04-26 21:00:00,32.0,38.8,1005.0,65.59,Partially cloudy,,28.782608695652176,54.73913043478261,,
2024-04-26 22:00:00,31.1,39.0,1006.0,73.69,Partially cloudy,,29.391304347826086,55.8695652173913,,
2024-04-26 23:00:00,31.0,36.5,1006.7,66.38,Partially cloudy,,30.0,57.0,,
